Sno,Category,Level,ContentType,Subject,Area,ContentName,VideoLinks
135,Teacher,Primary ,Video,Pedagogy and Tech Tools,,Basic Computer Skills Training for Teachers (ICT-SMSA),https://youtu.be/giVw2yvt_aM
136,Teacher,Primary ,Video cut,English,Reading,शब्द खेल - पाठ्यपुस्तक से अंग्रेजी शिक्षण,https://youtu.be/zf7MLFTspAs
137,Teacher,Primary ,Video cut,Pedagogy and Tech Tools,,Pragyan App Installation and User Guide,https://youtu.be/VdFSmITmX_I
138,Teacher,Primary ,Video,General Topics,,राष्ट्रीय शिक्षा नीति - 2020 || National Education Policy 2020 || NEP 2020 || VC for Teachers,https://youtu.be/j4ZRBzitLjU
139,Teacher,Primary ,Video,Pedagogy and Tech Tools,,ई-टूल्स के माध्यम से प्रभावी शिक्षण || टोंक || राजस्थान,https://youtu.be/Bl4o8SrhOrE
140,Teacher,Primary ,Video,Pedagogy and Tech Tools,,"शिक्षक अभिमुखीकरण, उत्तराखण्ड - कोविड पश्चात प्राथमिक शिक्षण",https://youtu.be/VWz4LB82lDc
141,Teacher,Primary ,Video,Pedagogy and Tech Tools,,ई-टूल्स के माध्यम से प्रभावी शिक्षण || चित्तोड़गढ़ || राजस्थान,https://youtu.be/Ova5Va-_kq4
142,Teacher,Primary ,Video,Pedagogy and Tech Tools,,ई-टूल्स के माध्यम से प्रभावी शिक्षण || भीलवाड़ा || राजस्थान,https://youtu.be/LflNJU8tN6U
143,Teacher,Primary ,Video,Hindi,,सवालों की दुनिया || VC for Teachers,https://youtu.be/u9P2eHEfsHw
144,Teacher,Primary ,Video,Pedagogy and Tech Tools,,ई-टूल्स के माध्यम से प्रभावी शिक्षण || पाली || राजस्थान,https://youtu.be/aa1ATtci49Y
145,Teacher,Primary ,Video,Pedagogy and Tech Tools,,ई-टूल्स के माध्यम से प्रभावी शिक्षण || बाड़मेर || राजस्थान,https://youtu.be/qqG4tRFeh64
